path,title,extracted_at,non_page_by_convention,word_count,heading_count,heading_max_depth,code_fence_count,code_block_density,internal_link_count,todo_flag,days_since_update,days_since_update_raw,age_days,median_line_age_days,last_update_commit_msg,commit_count,author_count,flesch_reading_ease,words_per_heading,staleness_to_age_ratio
website/docs/guides/docs/sidebar/index.mdx,Sidebar,2026-08-17T15:06:15.936883+00:00,False,476,11,3,13,27.31,2,False,406,163,1667,1663,docs(website): fix duplicate anchor id typo (#11311),14,5,47.99,43.27,0.24
website/docs/guides/docs/sidebar/items.mdx,Sidebar items,2026-08-17T15:06:15.936883+00:00,False,818,14,4,37,45.23,8,False,410,163,1667,1667,feat(docs): sidebar item `key` attribute - fix docs translations key conflicts (#11228),17,6,45.1,58.43,0.25
website/docs/guides/docs/sidebar/multiple-sidebars.mdx,Using multiple sidebars,2026-08-17T15:06:15.936883+00:00,False,635,4,2,8,12.6,3,False,1038,163,1667,1663,feat(core): support TypeScript + ESM configuration (#9317),5,5,53.19,158.75,0.62
website/docs/guides/docs/versioning.mdx,Versioning,2026-08-17T15:06:15.936883+00:00,False,1622,17,3,18,11.1,13,False,66,66,2458,1663,docs(website): split Deployment page into a category with hosting provider subpages + cleanup providers (#12139),34,16,62.34,95.41,0.03
website/docs/guides/markdown-features/_markdown-partial-example.mdx,,2026-08-17T15:06:15.936883+00:00,True,9,0,0,0,0.0,0,False,1846,1846,1846,1846,feat: details/summary theme / MDX component (#5216),1,1,,,1.0
website/docs/guides/markdown-features/markdown-features-admonitions.mdx,Admonitions,2026-08-17T15:06:15.936883+00:00,False,436,11,3,19,43.58,2,False,223,163,2055,1489,feat(mdx-loader): add admonitions directive support for class/id shortcuts (#11642),25,8,50.86,39.64,0.11
website/docs/guides/markdown-features/markdown-features-assets.mdx,Assets,2026-08-17T15:06:15.936883+00:00,False,495,7,3,18,36.36,4,False,839,163,2055,1753,docs: make `ThemedImage` example work out of the box (#10085),24,8,59.47,70.71,0.41
website/docs/guides/markdown-features/markdown-features-code-blocks.mdx,Code blocks,2026-08-17T15:06:15.936883+00:00,False,1707,18,4,67,39.25,5,False,178,163,2055,1693,feat(theme-live-codeblock): reset button + wire `position` prop (#11675),49,17,58.65,94.83,0.09
website/docs/guides/markdown-features/markdown-features-diagrams.mdx,Diagrams,2026-08-17T15:06:15.936883+00:00,False,169,7,2,9,53.25,0,False,357,163,1402,1402,feat(mermaid): support elk layout (#11357),6,6,47.61,24.14,0.25
website/docs/guides/markdown-features/markdown-features-head-metadata.mdx,Head Metadata,2026-08-17T15:06:15.936883+00:00,False,222,3,2,4,18.02,4,False,1326,163,1832,1741,docs(website): use .mdx extension for every docs (#8490),8,3,54.67,74.0,0.72
website/docs/guides/markdown-features/markdown-features-intro.mdx,My Doc Title,2026-08-17T15:06:15.936883+00:00,False,635,7,2,9,14.17,10,False,99,99,2055,1150,docs: add Tables section to Markdown features (#11970),19,5,43.62,90.71,0.05
website/docs/guides/markdown-features/markdown-features-links.mdx,Markdown links,2026-08-17T15:06:15.936883+00:00,False,440,1,1,2,4.55,14,False,25,25,1571,1564,docs: Oxford comma in linking guide (#12307),5,3,58.89,440.0,0.02
website/docs/guides/markdown-features/markdown-features-math-equations.mdx,Math Equations,2026-08-17T15:06:15.936883+00:00,False,307,6,3,10,32.57,0,False,163,163,1902,1642,docs(website): change recommended syntax for math equations (#11784),19,7,23.8,51.17,0.09
website/docs/guides/markdown-features/markdown-features-plugins.mdx,MDX Plugins,2026-08-17T15:06:15.936883+00:00,False,829,5,2,8,9.65,2,False,857,163,2055,1753,docs: visit is a named export of unist-util-visit (#10039),19,9,55.84,165.8,0.42
website/docs/guides/markdown-features/markdown-features-react.mdx,MDX and React,2026-08-17T15:06:15.936883+00:00,False,1045,8,3,20,19.14,7,False,655,163,2055,1680,docs: fix frontMatter.mdx.format docs (#10631),42,11,50.23,130.62,0.32
